References,Reaction,Year
"Article; Knoevenagel; Schmidt,H.; Justus Liebigs Annalen der Chemie; vol. 281; (1894); p. 48;",O=C(C=Cc1ccccc1)c1ccccc1.O=C(Cc1ccccc1)c1ccccc1>>O=C(CC(c1ccccc1)C(C(=O)c1ccccc1)c1ccccc1)c1ccccc1,1894
Article; v. Kostanecki; Rossbach; Chemische Berichte; vol. 29; (1896); p. 1492;,CC(=O)c1ccccc1.O=C(C=Cc1ccccc1)c1ccccc1>>O=C(CC(CC(=O)c1ccccc1)c1ccccc1)c1ccccc1,1896
Article; Vorlaender; Knoetzsch; Justus Liebigs Annalen der Chemie; vol. 294; (1897); p. 332;; ; Article; Davis; Journal of the American Chemical Society; vol. 46; (1924); p. 1134;,CCOC(=O)CC(=O)OCC.O=C(C=Cc1ccccc1)c1ccccc1>>CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1ccccc1,1897
Article; Conrad; Reinbach; Chemische Berichte; vol. 34; (1901); p. 1343;,O=C1NC(=O)C(=Cc2ccccc2)C(=O)N1>>O=C1NC(=O)C(Cc2ccccc2)C(=O)N1,1901
Article; Knoevenagel; Chemische Berichte; vol. 35; (1902); p. 396; Chemische Berichte; vol. 36; (1903); p. 2118;,CCOC(=O)CC(C)=O.O=C(C=Cc1ccccc1)c1ccccc1>>CCOC(=O)C(C(C)=O)C(CC(=O)c1ccccc1)c1ccccc1,1902
Article; Stobbe; Chemische Berichte; vol. 35; (1902); p. 1445;,O=C(C=Cc1ccccc1)c1ccccc1.O=C1CCCC1>>O=C(CC(c1ccccc1)C1CCCC1=O)c1ccccc1,1902
Article; Dieckmann; v. Fischer; Chemische Berichte; vol. 44; (1911); p. 969;,CCOC(=O)CC(=O)c1ccccc1.O=C(C=Cc1ccccc1)c1ccccc1>>CCOC(=O)C(C(=O)c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1911
Article; Kohler; American Chemical Journal; vol. 46; (1911); p. 486; Priv.-Mitt.;,COC(=O)CC(=O)OC.O=C(C=Cc1ccccc1)c1ccccc1>>COC(=O)C(C(=O)OC)C(CC(=O)c1ccccc1)c1ccccc1,1911
Article; Kohler; Journal of the American Chemical Society; vol. 38; (1916); p. 896; Journal of the American Chemical Society; vol. 46; (1924); p. 510;,C[N+](=O)[O-].O=C(C=Cc1ccccc1)c1ccccc1>>O=C(CC(C[N+](=O)[O-])c1ccccc1)c1ccccc1,1916
Article; Kohler; Journal of the American Chemical Society; vol. 38; (1916); p. 896; Journal of the American Chemical Society; vol. 46; (1924); p. 510;,CC(C)[N+](=O)[O-].O=C(C=Cc1ccccc1)c1ccccc1>>CC(C)(C(CC(=O)c1ccccc1)c1ccccc1)[N+](=O)[O-],1916
"Article; Kohler, Souther; Journal of the American Chemical Society; vol. 44; (1922); p. 2909;",N#CCC#N.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(C#N)C(CC(=O)c1ccccc1)c1ccccc1,1922
"Article; Kohler, Allen; Journal of the American Chemical Society; vol. 45; (1923); p. 1988;",CC(=O)C=Cc1ccccc1.COC(=O)CC#N>>COC(=O)C(C#N)C(CC(C)=O)c1ccccc1,1923
"Article; Kohler, Allen; Journal of the American Chemical Society; vol. 45; (1923); p. 1988;",CC(=O)C=Cc1ccccc1.COC(=O)CC(=O)OC>>COC(=O)C(C(=O)OC)C(CC(C)=O)c1ccccc1,1923
Patent; I.G. Farbenind.; DE550706; (1926); C;,O=C1C=CC(=O)O1.O=C1c2ccccc2Cc2ccccc21>>O=C1CC(C2c3ccccc3C(=O)c3ccccc32)C(=O)O1,1926
Article; Allen; Journal of the American Chemical Society; vol. 49; (1927); p. 1115;,COc1ccc(C(=O)C=Cc2ccccc2)cc1.N#CCc1ccccc1>>COc1ccc(C(=O)CC(c2ccccc2)C(C#N)c2ccccc2)cc1,1927
Patent; I. G. Farbenind.; DE488608; (1930); C; Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 16; p. 1430; Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 16; p. 1430;,C=CC(C)=O.O=C1c2ccccc2Cc2ccccc21>>CC(=O)CCC1c2ccccc2C(=O)c2ccccc21,1930
"Article; Barat; Journal of the Indian Chemical Society; vol. 7; (1930); p. 321,333;",CCOC(=O)CC(=O)OCC.O=C(/C=C/c1ccccc1)c1ccccc1>>CCOC(=O)C(C(=O)OCC)C(CC(=O)c1ccccc1)c1ccccc1,1930
"Article; Avery; Jorgensen; Journal of the American Chemical Society; vol. 52; (1930); p. 3628,3632;; ; Article; Rupe; Stern; Helvetica Chimica Acta; vol. 10; (1927); p. 865;; ; Article; Kohler, Allen; Journal of the American Chemical Society; vol. 46; (1924); p. 1526;",N#CCc1ccccc1.O=C(C=Cc1ccccc1)c1ccccc1>>N#CC(c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1930
"Article; Allen; Sallans; Canadian Journal of Research; vol. 9; (1933); p. 574,579;",O=C(/C=C/c1ccccc1)c1ccccc1.O=C1CCCCC1>>O=C(CC(c1ccccc1)C1CCCCC1=O)c1ccccc1,1933
"Article; Connor; Andrews; Journal of the American Chemical Society; vol. 56; (1934); p. 2713,2714;",CCOC(=O)CC(=O)c1ccccc1.O=C(/C=C/c1ccccc1)c1ccccc1>>CCOC(=O)C(C(=O)c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1934
Article; Dey; Linstead; Journal of the Chemical Society; (1935); p. 1065;,CC(=O)C=C(C)C.CCOC(=O)CC(=O)OCC>>CCOC(=O)C(C(=O)OCC)C(C)(C)CC(C)=O,1935
